Display,Workstream,Service_Title,Customer_Story,Suggested_Path,,Estimated_Low_Hours,Estimated_High_Hours,Contracted_Hours,Requires_Clarification,Function,Library_ID,Project_ID,Internal_Notes,Task_Link
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
,,,,,,,,,FALSE,,,,,
